timedate,Calcium,Chloride,Magnesium,Nitrate,Potassium,Sodium,Sulfate,Temperature,Turbidity,Discharge
2022-08-05 23:29:00+00:00,1.498005,2.223127,1.278642,0.001452,0.055934,1.123957,0.636573,27.125,19.921875,1.4809571
2022-08-05 23:58:00+00:00,1.49394,2.223239,1.279383,0.000887,0.055959,1.119826,0.636021,27,19.921875,1.537590259
2022-08-06 00:27:00+00:00,1.49389,2.205099,1.28,0.000694,0.056394,1.128565,0.628281,26.875,20.996094,1.517768654
2022-08-06 00:56:00+00:00,1.498878,2.205549,1.279465,0.000774,0.054655,1.106043,0.624448,26.875,20.996094,1.463967153
2022-08-06 01:26:00+00:00,1.496035,2.200366,1.277778,0.000871,0.055448,1.112174,0.628135,26.75,21.972656,1.517768654
2022-08-06 01:55:00+00:00,1.491721,2.195972,1.276831,0.000871,0.055627,1.109739,0.626448,26.625,22.949219,1.517768654
2022-08-06 02:24:00+00:00,1.494863,2.188141,1.273621,0.000903,0.055269,1.095087,0.621729,26.5,21.972656,1.429987258
2022-08-06 02:54:00+00:00,1.496135,2.183887,1.277078,0.000935,0.055627,1.093087,0.623094,26.25,22.949219,1.500778706
2022-08-06 03:23:00+00:00,1.493865,2.189099,1.276996,0.000839,0.055396,1.093391,0.621781,26.125,21.972656,1.463967153
2022-08-06 03:52:00+00:00,1.495736,2.189014,1.274938,0.000855,0.055422,1.089652,0.624,26,20.996094,1.483788758
2022-08-06 04:21:00+00:00,1.494813,2.182028,1.275062,0.000726,0.055294,1.086783,0.61974,26,19.921875,1.483788758
2022-08-06 04:51:00+00:00,1.493092,2.186169,1.277284,0.000839,0.05491,1.08513,0.617427,25.875,19.921875,1.483788758
2022-08-06 05:20:00+00:00,1.492718,2.180254,1.274444,0.000645,0.054936,1.082783,0.617458,25.75,20.996094,1.483788758
2022-08-06 05:49:00+00:00,1.491471,2.180789,1.279465,0.000742,0.054834,1.083783,0.620167,25.75,18.945312,1.446977205
